"student_id","experience_level","ai_tool_user","tasks_completed"
1,"Senior",0,22
2,"Senior",0,22
3,"Junior",1,13
4,"Senior",0,24
5,"Senior",1,24
6,"Senior",1,25
7,"Senior",0,19
8,"Junior",1,15
9,"Senior",0,20
10,"Senior",0,20
11,"Junior",1,15
12,"Senior",1,25
13,"Senior",0,19
14,"Junior",1,14
15,"Junior",1,12
16,"Senior",0,19
17,"Senior",0,19
18,"Junior",1,20
19,"Junior",1,12
20,"Senior",1,25
21,"Senior",0,17
22,"Junior",1,12
23,"Senior",0,20
24,"Senior",0,18
25,"Junior",1,15
26,"Senior",0,19
27,"Junior",0,9
28,"Senior",1,21
29,"Junior",1,13
30,"Senior",0,20
31,"Senior",1,26
32,"Senior",0,19
33,"Junior",1,15
34,"Senior",1,27
35,"Junior",0,13
36,"Senior",0,18
37,"Junior",0,10
38,"Junior",1,17
39,"Senior",0,19
40,"Senior",0,20
41,"Junior",1,15
42,"Junior",1,13
43,"Junior",1,14
44,"Senior",0,20
45,"Junior",1,14
46,"Senior",1,27
47,"Senior",0,19
48,"Senior",1,24
49,"Senior",0,21
50,"Senior",0,18
51,"Junior",1,15
52,"Junior",1,12
53,"Junior",1,17
54,"Senior",0,19
55,"Junior",1,14
56,"Senior",0,18
57,"Senior",0,20
58,"Junior",1,13
59,"Junior",1,14
60,"Senior",0,23
61,"Senior",1,25
62,"Senior",0,18
63,"Senior",0,20
64,"Senior",0,19
65,"Senior",0,21
66,"Junior",1,18
67,"Junior",1,13
68,"Senior",0,21
69,"Senior",0,20
70,"Junior",1,17
71,"Junior",1,15
72,"Junior",1,17
73,"Junior",1,12
74,"Junior",1,18
75,"Junior",1,17
76,"Senior",0,20
77,"Junior",0,7
78,"Junior",1,16
79,"Senior",0,21
80,"Junior",1,15
81,"Senior",1,25
82,"Junior",0,9
83,"Junior",1,16
84,"Senior",0,21
85,"Senior",0,19
86,"Senior",0,17
87,"Junior",0,11
88,"Junior",1,16
89,"Junior",1,13
90,"Junior",1,12
91,"Senior",0,20
92,"Junior",1,14
93,"Junior",1,16
94,"Senior",0,17
95,"Senior",0,18
96,"Senior",0,22
97,"Junior",1,16
98,"Senior",0,21
99,"Senior",0,24
100,"Senior",0,20
