Month/Year,Month,month,homes
Jan-00,Jan,1,1025
Feb-00,Feb,2,1277
Mar-00,Mar,3,1603
Apr-00,Apr,4,1556
May-00,May,5,1980
Jun-00,Jun,6,1885
Jul-00,Jul,7,1818
Aug-00,Aug,8,1880
Sep-00,Sep,9,1498
Oct-00,Oct,10,1524
Nov-00,Nov,11,1245
Dec-00,Dec,12,1330
Jan-01,Jan,13,1086
Feb-01,Feb,14,1213
Mar-01,Mar,15,1553
Apr-01,Apr,16,1579
May-01,May,17,1838
Jun-01,Jun,18,1857
Jul-01,Jul,19,1871
Aug-01,Aug,20,1801
Sep-01,Sep,21,1381
Oct-01,Oct,22,1351
Nov-01,Nov,23,1388
Dec-01,Dec,24,1474
Jan-02,Jan,25,1172
Feb-02,Feb,26,1407
Mar-02,Mar,27,1550
Apr-02,Apr,28,1665
May-02,May,29,1931
Jun-02,Jun,30,1829
Jul-02,Jul,31,1729
Aug-02,Aug,32,1742
Sep-02,Sep,33,1407
Oct-02,Oct,34,1480
Nov-02,Nov,35,1304
Dec-02,Dec,36,1500
Jan-03,Jan,37,1094
Feb-03,Feb,38,1236
Mar-03,Mar,39,1522
Apr-03,Apr,40,1547
May-03,May,41,1652
Jun-03,Jun,42,1931
Jul-03,Jul,43,2048
Aug-03,Aug,44,2169
Sep-03,Sep,45,1898
Oct-03,Oct,46,1609
Nov-03,Nov,47,1362
Dec-03,Dec,48,1725
Jan-04,Jan,49,1096
Feb-04,Feb,50,1300
Mar-04,Mar,51,1650
Apr-04,Apr,52,2039
May-04,May,53,2084
Jun-04,Jun,54,2433
Jul-04,Jul,55,2377
Aug-04,Aug,56,2333
Sep-04,Sep,57,1927
Oct-04,Oct,58,1704
Nov-04,Nov,59,1630
Dec-04,Dec,60,1994
Jan-05,Jan,61,1430
Feb-05,Feb,62,1639
Mar-05,Mar,63,2167
Apr-05,Apr,64,2156
May-05,May,65,2496
Jun-05,Jun,66,2701
Jul-05,Jul,67,2715
Aug-05,Aug,68,2883
Sep-05,Sep,69,2495
Oct-05,Oct,70,2126
Nov-05,Nov,71,1975
Dec-05,Dec,72,2122
Jan-06,Jan,73,1694
Feb-06,Feb,74,1886
Mar-06,Mar,75,2605
Apr-06,Apr,76,2434
May-06,May,77,2948
Jun-06,Jun,78,3337
Jul-06,Jul,79,2989
Aug-06,Aug,80,3104
Sep-06,Sep,81,2586
Oct-06,Oct,82,2355
Nov-06,Nov,83,2141
Dec-06,Dec,84,2205
Jan-07,Jan,85,1644
Feb-07,Feb,86,1904
Mar-07,Mar,87,2602
Apr-07,Apr,88,2566
May-07,May,89,3012
Jun-07,Jun,90,3086
Jul-07,Jul,91,2959
Aug-07,Aug,92,2805
Sep-07,Sep,93,1984
Oct-07,Oct,94,1910
Nov-07,Nov,95,1805
Dec-07,Dec,96,1771
