Date,month,FB
1-Jun-12,1,31.1
1-Jul-12,2,21.71
1-Aug-12,3,18.06
1-Sep-12,4,21.66
1-Oct-12,5,21.11
1-Nov-12,6,28
1-Dec-12,7,26.62
1-Jan-13,8,30.98
1-Feb-13,9,27.25
1-Mar-13,10,25.58
1-Apr-13,11,27.77
1-May-13,12,24.35
1-Jun-13,13,24.88
1-Jul-13,14,36.8
1-Aug-13,15,41.29
1-Sep-13,16,50.23
1-Oct-13,17,50.21
1-Nov-13,18,47.01
1-Dec-13,19,54.65
1-Jan-14,20,62.57
1-Feb-14,21,68.46
1-Mar-14,22,60.24
1-Apr-14,23,59.78
1-May-14,24,63.3
1-Jun-14,25,67.29
1-Jul-14,26,72.65
1-Aug-14,27,74.82
1-Sep-14,28,79.04
1-Oct-14,29,74.99
1-Nov-14,30,77.7
1-Dec-14,31,78.02
1-Jan-15,32,75.91
1-Feb-15,33,78.97
1-Mar-15,34,82.22
1-Apr-15,35,78.77
1-May-15,36,79.19
1-Jun-15,37,85.77
1-Jul-15,38,94.01
1-Aug-15,39,89.43
1-Sep-15,40,89.9
1-Oct-15,41,101.97
1-Nov-15,42,104.24
1-Dec-15,43,104.66
1-Jan-16,44,112.21
1-Feb-16,45,106.92
1-Mar-16,46,114.1
1-Apr-16,47,117.58
1-May-16,48,118.81
1-Jun-16,49,114.28
1-Jul-16,50,123.94
1-Aug-16,51,126.12
1-Sep-16,52,128.27
1-Oct-16,53,130.99
1-Nov-16,54,118.42
1-Dec-16,55,115.05
1-Jan-17,56,130.32
1-Feb-17,57,135.54
1-Mar-17,58,142.05
1-Apr-17,59,150.25
1-May-17,60,151.46
1-Jun-17,61,150.98
1-Jul-17,62,169.25
1-Aug-17,63,171.97
1-Sep-17,64,170.87
1-Oct-17,65,180.06
1-Nov-17,66,177.18
1-Dec-17,67,176.46
1-Jan-18,68,186.89
1-Feb-18,69,178.32
1-Mar-18,70,159.79
1-Apr-18,71,172
1-May-18,72,191.78
1-Jun-18,73,194.32
1-Jul-18,74,172.58
1-Aug-18,75,175.73
1-Sep-18,76,164.46
1-Oct-18,77,151.79
1-Nov-18,78,140.61
1-Dec-18,79,131.09
1-Jan-19,80,166.69
1-Feb-19,81,161.45
1-Mar-19,82,166.69
1-Apr-19,83,193.4
1-May-19,84,177.47
1-Jun-19,85,193
1-Jul-19,86,194.23
1-Aug-19,87,185.67
1-Sep-19,88,178.08
1-Oct-19,89,191.65
1-Nov-19,90,201.64
1-Dec-19,91,205.25
1-Jan-20,92,201.91
1-Feb-20,93,192.47
1-Mar-20,94,166.8
1-Apr-20,95,204.71
1-May-20,96,225.09
1-Jun-20,97,227.07
1-Jul-20,98,253.67
1-Aug-20,99,293.2
1-Sep-20,100,261.9
1-Oct-20,101,263.11
1-Nov-20,102,276.97
1-Dec-20,103,273.16
1-Jan-21,104,258.33
1-Feb-21,105,257.62
1-Mar-21,106,294.53
1-Apr-21,107,302.82
