subject_id,study,cohort,race,gender,firstgen,total_sleep_time,frac_nights_with_data,cum_gpa,term_gpa,term_units,Zterm_units_ZofZ
343,5,lac1,1,0,0,454.3214286,0.965517241,3.79,3.5,60,1.783529351
323,5,lac1,1,0,0,365.7241379,1,4,4,58,1.434026965
125,5,lac1,1,0,1,366.7586207,1,3,3.2,57,1.259275772
178,5,lac1,1,0,0,371.7272727,0.379310345,3.82,3.78,57,1.259275772
172,5,lac1,1,0,0,443.137931,1,2.91,2.61,54,0.735022193
190,5,lac1,1,0,0,375.8,0.862068966,3.79,3.17,54,0.735022193
197,5,lac1,1,0,0,335.9565217,0.793103448,1.57,2.67,54,0.735022193
142,5,lac1,1,0,0,373.1724138,1,4,3.81,53,0.560271
163,5,lac1,0,0,0,429.862069,1,3.52,3.46,53,0.560271
236,5,lac1,1,0,0,391.32,0.862068966,3.29,3.51,53,0.560271
247,5,lac1,0,0,0,365.9166667,0.827586207,3.72,3.81,53,0.560271
261,5,lac1,1,0,0,342.4545455,0.75862069,3.76,3.8,53,0.560271
301,5,lac1,1,0,0,293.4827586,1,4,3.77,53,0.560271
258,5,lac1,1,0,0,412.5357143,0.965517241,3.76,3.55,52,0.385519807
281,5,lac1,1,0,0,442.0909091,0.379310345,3.46,3.5,52,0.385519807
123,5,lac1,1,0,0,439.862069,1,3.46,4,51,0.210768614
208,5,lac1,0,0,0,382.4642857,0.965517241,2.65,3.53,50,0.036017421
326,5,lac1,0,0,0,399.4705882,0.586206897,1.94,1.79,50,0.036017421
234,5,lac1,0,0,1,303.4230769,0.896551724,1.91,2.98,49,-0.138733771
152,5,lac1,1,0,0,398.3636364,0.379310345,3.98,4,49,-0.138733771
196,5,lac1,1,0,0,456.4642857,0.965517241,3.79,3.18,49,-0.138733771
204,5,lac1,0,0,0,393.5789474,0.655172414,2.15,2.76,49,-0.138733771
289,5,lac1,0,0,0,400.7142857,0.724137931,2.76,3.23,49,-0.138733771
116,5,lac1,1,0,0,389.3846154,0.896551724,2.82,3.2,48,-0.313484964
120,5,lac1,1,0,0,445.6071429,0.965517241,3.8,4,48,-0.313484964
147,5,lac1,1,0,0,394.8666667,0.517241379,4,4,48,-0.313484964
164,5,lac1,1,0,0,387.9285714,0.965517241,3.26,3.04,48,-0.313484964
171,5,lac1,1,0,0,414.72,0.862068966,3.77,3.25,48,-0.313484964
175,5,lac1,1,0,0,307.3461538,0.896551724,3.4,3.6,48,-0.313484964
183,5,lac1,1,0,0,437.6206897,1,3.41,3.19,48,-0.313484964
249,5,lac1,1,0,0,394.1428571,0.965517241,3.61,3.38,48,-0.313484964
310,5,lac1,0,0,0,398.5,0.689655172,3.35,3.38,48,-0.313484964
356,5,lac1,1,0,0,303.75,0.275862069,3.22,1.38,48,-0.313484964
194,5,lac1,1,0,0,370.5238095,0.724137931,3.76,3.38,47,-0.488236157
134,5,lac1,1,0,0,430.0833333,0.413793103,3.79,3.41,46,-0.66298735
309,5,lac1,0,0,1,438.6296296,0.931034483,2.57,2.4,45,-0.837738543
144,5,lac1,1,0,0,431.2758621,1,3.05,2.73,45,-0.837738543
264,5,lac1,1,0,0,411.8636364,0.75862069,2.91,3.4,45,-0.837738543
322,5,lac1,1,0,0,421.8928571,0.965517241,2.9,3.36,45,-0.837738543
329,5,lac1,1,0,0,465.9285714,0.965517241,2.84,3.12,45,-0.837738543
149,5,lac1,1,0,0,402.6521739,0.793103448,2.49,2.77,44,-1.012489736
240,5,lac1,0,0,0,370.4482759,1,3.8,3.22,44,-1.012489736
157,5,lac1,0,0,1,428.6296296,0.931034483,2.44,3.07,43,-1.187240929
224,5,lac1,1,0,0,345.8928571,0.965517241,4,4,43,-1.187240929
242,5,lac1,1,0,0,413.6206897,1,3.49,3.54,42,-1.361992122
282,5,lac1,1,0,0,416.7241379,1,2.93,3.57,42,-1.361992122
124,5,lac1,0,0,0,444.9130435,0.793103448,4,4,41,-1.536743315
312,5,lac1,1,0,0,375.08,0.862068966,3.47,3.29,41,-1.536743315
110,5,lac1,1,0,0,392.2413793,1,4,4,40,-1.711494508
166,5,lac1,0,0,0,357.0344828,1,2,1.5,40,-1.711494508
170,5,lac1,1,0,0,348.0833333,0.827586207,2.6,3.08,39,-1.886245701
538,3,uw2,1,0,1,402.9642857,1,3.552758621,3.27,18,1.603330987
305,1,lac2,0,0,1,346.8095238,0.724137931,2.37,2.54,49,0.11155726
322,1,lac2,0,0,1,447.3793103,1,4,3.81,48,-0.127051324
615,1,lac2,1,0,1,250.3913043,0.793103448,3.58,2.55,54,1.304600178
617,1,lac2,0,0,1,320.952381,0.724137931,4,3.63,48,-0.127051324
48,2,uw1,1,0,1,329.037037,0.964285714,3.627272545,3.5,10,-1.80457982
60,2,uw1,0,0,1,388.1785714,1,3.629166333,3.466666,15,0.373361342
90,2,uw1,0,0,1,422.6666667,0.75,3.434482069,3.483333,12,-0.933403355
104,2,uw1,0,0,1,405.8461538,0.928571429,3.5249996,3.4,10,-1.80457982
150,2,uw1,0,0,1,368.0434783,0.821428571,2.8999996,3.15,18,1.680126039
154,2,uw1,1,0,1,402.28,0.892857143,3.3499995,3.76923,13,-0.497815123
163,2,uw1,1,0,1,474.9259259,0.964285714,3.896774032,4,15,0.373361342
186,2,uw1,1,0,1,419.4736842,0.678571429,3.925806129,3.888888,18,1.680126039
196,2,uw1,0,0,1,414.2962963,0.964285714,3.58749975,3.65,10,-1.80457982
201,2,uw1,1,0,1,391.3529412,0.607142857,2.738461154,2.35,10,-1.80457982
206,2,uw1,0,0,1,351.4814815,0.964285714,3.681818,3.95,10,-1.80457982
209,2,uw1,1,0,1,439.7142857,1,3.608695435,3.73125,16,0.808949574
304,3,uw2,1,0,1,362.2857143,0.75,2.9484,2.64,15,0.041207105
321,3,uw2,0,0,1,413.7407407,0.964285714,3.048181818,3.67,17,1.082623027
337,3,uw2,0,0,1,411.6428571,1,3.455,2.97,17,1.082623027
398,3,uw2,1,0,1,446.1785714,1,3.13,3,15,0.041207105
400,3,uw2,0,0,1,421.7857143,1,3.0425,3.53,15,0.041207105
406,3,uw2,1,0,1,395.3571429,1,3.7,3.32,18,1.603330987
415,3,uw2,0,0,1,360.75,1,2.206363636,2.54,17,1.082623027
434,3,uw2,1,0,1,438,0.321428571,3.563214286,4,15,0.041207105
440,3,uw2,1,0,1,438.4642857,1,3.818,3.63,15,0.041207105
